,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
郫县西,0.014909612946212292,0.5437549352645874,0.06234615668654442,1.157744288444519,-0.6525813937187195,-0.28345832228660583,0.8193724155426025,0.1710960417985916,0.6868831515312195,-0.24003182351589203,1.3251612186431885,-0.3019431531429291,0.92411869764328,-0.3804868459701538,-0.06707918643951416,0.9040303826332092,0.11140365898609161,-0.07799232751131058,0.6029646396636963,0.2133609801530838,-0.6504250168800354,-0.3846900165081024,0.5734024047851562,-0.20795878767967224,-0.39942577481269836,0.12398108094930649,-0.5624833106994629,-0.35888370871543884,-1.458293080329895,-0.9113500118255615,0.2922741174697876,0.9528509974479675
土牧尔台,-0.29494187235832214,0.511243999004364,-0.009461495094001293,0.8905702829360962,-1.3333700895309448,0.5341598987579346,-0.7035008668899536,-0.6843101382255554,0.772372305393219,0.20126508176326752,0.5603503584861755,-0.11409059911966324,2.4132590293884277,-0.8157012462615967,0.4267560839653015,0.21466313302516937,-1.905070424079895,-0.584805428981781,0.3125964403152466,-0.11600978672504425,-1.009308934211731,-0.14372150599956512,-1.3704164028167725,-0.3516281843185425,0.09810948371887207,0.9594533443450928,0.33232927322387695,-0.4462357461452484,-0.41364410519599915,0.5038415789604187,0.2677669823169708,0.4584331810474396
漫流河,0.6327875256538391,0.06023699417710304,0.8093204498291016,-0.3092859089374542,-1.068252682685852,-0.975202739238739,0.4243105947971344,0.8333044648170471,1.1035609245300293,-0.41689759492874146,0.5680034160614014,-0.24813733994960785,0.8328297734260559,-0.27920833230018616,-0.1056295782327652,1.0187172889709473,-1.2524722814559937,-0.10484898090362549,0.5521925687789917,-0.5167990922927856,-0.7742003202438354,-1.324079155921936,0.3554190993309021,0.7949048280715942,-0.18480752408504486,-0.26894962787628174,1.436745047569275,-1.4290814399719238,-0.9022005200386047,-1.0782333612442017,0.06896476447582245,0.6253498196601868
阳邑,-0.2291705161333084,1.7641273736953735,0.5036695003509521,0.11781056970357895,-1.4765725135803223,-0.27903929352760315,-0.2199694961309433,0.25793638825416565,1.4132758378982544,-0.18902701139450073,0.5760707259178162,-0.5288895964622498,0.7209576964378357,-0.42742839455604553,0.7204896211624146,0.2354656457901001,-0.9592980742454529,-0.6133038401603699,-0.602872371673584,-0.29777535796165466,-0.8201225996017456,-1.6501059532165527,0.12002626061439514,-0.8126704692840576,-1.358848214149475,0.08950580656528473,0.5249137878417969,-1.6639630794525146,0.7555016875267029,0.42826366424560547,0.6388189196586609,0.09094832837581635
夏拉哈马,-0.026488076895475388,2.0087742805480957,0.557440459728241,1.4614145755767822,-1.0457767248153687,-0.6944534182548523,-0.9797513484954834,-0.017293531447649002,0.4279574751853943,-0.5143011212348938,-0.08152738213539124,0.09318441152572632,1.1976518630981445,0.3775559961795807,-0.3482336103916168,0.4098283350467682,-0.20140677690505981,1.165273904800415,0.43141233921051025,0.7698860764503479,-0.8495466709136963,-0.09864836931228638,-0.028166934847831726,-0.4662301242351532,-0.028469769284129143,1.0486491918563843,0.5756683945655823,-1.9313006401062012,1.2874053716659546,-0.5960819125175476,0.178020179271698,0.07877174764871597
胜利镇,0.0968908742070198,0.5237489342689514,0.2711735665798187,0.9955511689186096,-0.2818530201911926,-0.7595646977424622,0.4713999629020691,-0.7532877922058105,0.29302358627319336,-1.1440560817718506,1.2790484428405762,0.045530594885349274,-0.046742651611566544,-0.0549502819776535,0.3292466700077057,-0.13480466604232788,-0.1644694060087204,-0.3987344801425934,1.0019251108169556,0.3497454524040222,-0.29288384318351746,0.1544351875782013,-0.29765981435775757,-0.017233718186616898,0.3300691545009613,0.014563762582838535,-0.08041355758905411,-1.5353049039840698,-1.0094596147537231,-0.5041667819023132,0.5283048748970032,0.29870742559432983
娄山关,0.6255725622177124,1.120246171951294,-0.2526267170906067,0.04080605506896973,-0.5134665966033936,-0.42171022295951843,-0.07858844846487045,-0.496743768453598,1.185333251953125,-0.32660990953445435,1.323742389678955,-0.2861597537994385,0.20649269223213196,-0.16134709119796753,-0.5746130347251892,-0.22328145802021027,-1.153186321258545,1.2084029912948608,0.4544295072555542,0.5217965841293335,-1.5115435123443604,0.14294037222862244,-0.9217616319656372,-1.9746780395507812,-0.8189838528633118,0.052916526794433594,0.7840057611465454,-1.4116809368133545,-1.1645978689193726,0.8357490301132202,0.8609572649002075,0.35061103105545044
蒲江,0.41689836978912354,0.7101843953132629,0.14553667604923248,1.3912737369537354,-0.14169485867023468,-1.197696566581726,-0.2890452742576599,-0.19111396372318268,1.0202077627182007,-0.08981872349977493,0.7935609221458435,-0.2986205220222473,0.45678794384002686,0.8267805576324463,0.6919682025909424,0.6908154487609863,-0.5340828895568848,0.05781712383031845,0.8884878754615784,0.39755478501319885,0.7146613001823425,-1.2378528118133545,-0.29775628447532654,0.0059732189401984215,-1.4406296014785767,-0.3084986209869385,0.2895846366882324,-0.8522195816040039,-0.8333627581596375,-0.14248813688755035,0.10638471692800522,-0.31422656774520874
巴山,-0.44221988320350647,-0.2587645947933197,0.1470721960067749,0.6150087118148804,-0.27539464831352234,0.26702579855918884,0.5388101935386658,-0.5339444875717163,1.4056912660598755,-0.02707284688949585,1.1082817316055298,-0.3546273410320282,1.2445964813232422,0.7068118453025818,0.36036649346351624,-0.024719512090086937,-0.5260812044143677,0.29870742559432983,0.9035937786102295,0.2910408675670624,-0.2126508206129074,-0.9279997944831848,-0.47277146577835083,0.010362360626459122,-1.1857150793075562,1.1978342533111572,0.5067272186279297,-1.2014578580856323,0.9342992901802063,-0.7897931337356567,0.030789600685238838,-0.08952171355485916
白音胡硕,0.031078867614269257,0.14344801008701324,0.5570245385169983,0.796972930431366,-0.21294593811035156,-0.6571708917617798,-1.147278904914856,0.4105793535709381,2.31693959236145,-1.0885655879974365,1.1234166622161865,-0.25368285179138184,0.7054481506347656,0.4556460678577423,-0.09019965678453445,0.3133716285228729,-0.5682390332221985,1.2874630689620972,0.27776217460632324,0.9820027351379395,1.0295461416244507,-0.2675817608833313,-0.8537420630455017,-0.41669225692749023,0.28086933493614197,-0.42355287075042725,-0.056583717465400696,-0.7047823071479797,-0.1910981684923172,0.8832627534866333,0.2139924019575119,0.021386565640568733
高平,0.2835351526737213,0.6240167021751404,0.6748942732810974,1.5937604904174805,-0.8189782500267029,-0.688511848449707,-0.7555530667304993,0.09494595229625702,0.934158980846405,-0.3005160391330719,0.43917369842529297,-1.4696332216262817,0.8256323337554932,-0.7205144166946411,-0.7468418478965759,0.16466926038265228,-0.3399820029735565,-0.10033217072486877,-0.6899744868278503,0.8305087089538574,-1.2880698442459106,-0.2862301766872406,-0.12987801432609558,0.8658019304275513,-0.6264790892601013,-1.7189757823944092,0.7131484150886536,-0.640659511089325,-1.020122766494751,-1.5202821493148804,0.6773393750190735,0.21550416946411133
泰州,-0.29146137833595276,0.8082189559936523,0.9141612648963928,1.60389244556427,-0.7449371218681335,-0.3510407507419586,-0.41535869240760803,0.03740527108311653,0.9575240612030029,-0.4959527552127838,-0.5359640717506409,1.4562530517578125,0.445798397064209,0.10249977558851242,0.22005143761634827,1.8393845558166504,-1.382939338684082,-1.479581594467163,-0.5487738251686096,1.0483787059783936,-0.5203026533126831,-1.6009085178375244,-0.6679700016975403,-0.3542685806751251,-0.7309619784355164,-0.13210651278495789,0.3173799216747284,-0.3220600187778473,-0.7405462265014648,-0.4344295859336853,-0.4403955638408661,0.8878043293952942
